timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M30,15.0,30.0,2.0,30-70,30-70,False,35.95505617977528,267,600.073944170407,20.0147888340814,14.17341239737993
M15,12.0,36.0,3.0,30-70,30-70,False,26.595744680851062,376,599.7996165451784,19.959923309035684,17.724911742783423
M15,10.0,25.0,2.5,40-60,40-60,False,30.473372781065088,338,599.5133661154341,19.902673223086822,25.094871029255827
M15,15.0,27.0,1.8,40-60,40-60,True,39.66480446927375,179,599.3261935131154,19.865238702623085,9.265750162704627
M15,8.0,14.4,1.8,30-70,30-70,True,38.095238095238095,315,599.192420279464,19.838484055892806,19.249822642036584
M15,12.0,30.0,2.5,30-70,30-70,False,30.22670025188917,397,598.1123292386796,19.622465847735928,17.483337924741342
M15,15.0,45.0,3.0,40-60,40-60,False,27.125506072874494,247,593.4704331158969,18.694086623179373,13.228252990309752
M30,12.0,36.0,3.0,30-70,30-70,True,27.659574468085108,188,592.7781052915445,18.55562105830891,13.536026012720049
M30,10.0,25.0,2.5,30-70,30-70,True,31.16279069767442,215,590.8507430379734,18.170148607594683,19.23741746714506
M15,10.0,20.0,2.0,45-60,40-55,False,35.38461538461539,325,590.7185683168666,18.14371366337332,22.887260395596286
M15,8.0,20.0,2.5,40-60,40-60,False,30.15463917525773,388,589.9293330276205,17.985866605524098,18.52057459291886
M15,8.0,12.0,1.5,40-60,40-60,True,43.31797235023041,217,588.7174533415684,17.74349066831369,21.783804113676226
M15,6.0,12.0,2.0,40-60,40-60,False,34.84848484848485,462,588.5606624712569,17.712132494251385,26.03611479767333
M30,15.0,22.5,1.5,30-70,30-70,True,43.684210526315795,190,586.9719298913593,17.394385978271863,9.123167192740269
M15,8.0,16.0,2.0,45-60,40-55,True,36.45833333333333,192,586.7806293233733,17.356125864674663,13.254784724088289
M15,6.0,15.0,2.5,45-60,40-55,False,30.049261083743843,406,585.7021899114252,17.14043798228504,23.109047555442473
M30,15.0,27.0,1.8,40-60,40-60,True,40.14598540145985,137,585.0375630388473,17.007512607769467,8.648275251635903
M30,15.0,30.0,2.0,45-60,40-55,True,37.903225806451616,124,584.9086730633031,16.981734612660627,8.648275251635907
M30,15.0,22.5,1.5,45-60,40-55,False,43.34975369458128,203,583.4842007802981,16.696840156059626,10.998175703075496
M15,8.0,14.4,1.8,45-60,40-55,True,38.860103626943,193,582.1116846432625,16.4223369286525,14.101899472340895
M30,12.0,30.0,2.5,40-60,40-60,False,30.837004405286343,227,581.2542395639749,16.25084791279498,14.758284132390145
M15,6.0,15.0,2.5,40-60,40-60,True,30.837004405286343,227,581.2542395639746,16.250847912794917,19.237417467145058
H1,6.0,18.0,3.0,40-60,40-60,True,32.142857142857146,56,581.0017543234483,16.200350864689653,5.851985059899997
M30,15.0,22.5,1.5,45-60,40-55,True,44.96124031007752,129,580.8971840723727,16.17943681447455,8.648275251635898
M15,8.0,12.0,1.5,45-60,40-55,True,43.36734693877551,196,580.885045301822,16.17700906036439,16.20654916396999
M15,6.0,9.0,1.5,30-70,30-70,False,41.16788321167883,685,579.9323580564767,15.98647161129534,16.832362163301234
M30,12.0,21.6,1.8,40-60,40-60,True,39.59731543624161,149,579.7709090856914,15.954181817138283,9.265750162704608
M30,8.0,24.0,3.0,40-60,40-60,True,27.67295597484277,159,577.9034272887318,15.580685457746357,11.62358555259119
M15,12.0,24.0,2.0,30-70,30-70,True,35.471698113207545,265,576.7723415709409,15.354468314188171,16.548623854991227
M30,12.0,21.6,1.8,45-60,40-55,True,39.705882352941174,136,574.6930874644868,14.938617492897354,11.093245313187804
M30,15.0,22.5,1.5,40-60,40-60,True,44.285714285714285,140,574.6584569833426,14.93169139666852,8.648275251635908
M15,6.0,12.0,2.0,45-60,40-55,True,35.92233009708738,206,574.4184775638145,14.883695512762893,16.77217384186055
M30,6.0,18.0,3.0,45-60,40-55,True,27.77777777777778,144,573.481259903539,14.696251980707803,9.935922409948821
M15,8.0,14.4,1.8,40-60,40-60,True,38.31775700934579,214,572.9721159591826,14.594423191836517,18.782146175799962
M15,15.0,22.5,1.5,30-70,30-70,True,42.46031746031746,252,572.7165610603224,14.543312212064482,11.031436817363478
M15,10.0,15.0,1.5,40-60,40-60,False,41.711229946524064,374,570.3546905263975,14.070938105279494,20.433977735243356
M15,6.0,10.8,1.8,30-70,30-70,True,37.391304347826086,345,569.6858067474757,13.937161349495137,18.516285939632866
M15,10.0,18.0,1.8,40-60,40-60,False,37.32590529247911,359,568.9721916321006,13.794438326420117,19.915818097201587
M15,12.0,18.0,1.5,30-70,30-70,True,42.18181818181818,275,568.8880960251306,13.77761920502612,12.542603579784167
M15,8.0,16.0,2.0,40-60,40-60,True,35.68075117370892,213,568.3354134102262,13.667082682045248,18.91320039309313
M15,15.0,37.5,2.5,40-60,40-60,False,30.303030303030305,264,567.2245792312011,13.444915846240225,14.068652368690929
M30,8.0,24.0,3.0,30-70,30-70,True,26.81818181818182,220,567.0646726075785,13.412934521515696,21.757209712742664
M30,12.0,21.6,1.8,30-70,30-70,True,38.23529411764706,204,566.6712870104607,13.334257402092135,16.400906795002996
M15,10.0,20.0,2.0,40-60,40-60,False,34.85714285714286,350,566.2592736430961,13.25185472861922,22.956178643084133
M15,10.0,18.0,1.8,30-70,30-70,False,36.95198329853862,479,565.1392604111263,13.027852082225264,19.51328953809667
M30,10.0,30.0,3.0,30-70,30-70,False,26.299694189602445,327,563.7067393069508,12.741347861390159,24.170964751648842
M30,15.0,27.0,1.8,30-70,30-70,False,37.591240875912405,274,563.130972720656,12.626194544131202,14.768410502213614
M15,6.0,18.0,3.0,30-70,30-70,True,26.268656716417908,335,563.03947428415,12.60789485682999,25.460851514694493
M30,15.0,22.5,1.5,40-60,40-60,False,42.465753424657535,219,562.7901046895277,12.558020937905532,9.123167192740263
M30,10.0,20.0,2.0,45-60,40-55,True,36.42857142857142,140,561.1914986349543,12.238299726990864,9.884669991197912
M30,10.0,30.0,3.0,45-60,40-55,False,26.666666666666668,225,561.0616637763594,12.212332755271882,18.595884852651494
M15,15.0,27.0,1.8,30-70,30-70,True,37.704918032786885,244,560.1639543458821,12.032790869176416,11.87191950008651
M30,12.0,18.0,1.5,40-60,40-60,True,43.333333333333336,150,560.0854508927838,12.01709017855676,8.648275251635921
M30,10.0,25.0,2.5,40-60,40-60,False,30.241935483870968,248,559.9491298471127,11.989825969422533,20.114290587336864
H1,15.0,37.5,2.5,30-70,30-70,True,32.58426966292135,89,559.8526993941999,11.970539878839986,6.954843707821995
M30,15.0,30.0,2.0,45-60,40-55,False,35.56701030927835,194,558.1888802469011,11.637776049380227,12.326324703668458
M15,6.0,12.0,2.0,30-70,30-70,True,34.705882352941174,340,555.6527561766505,11.130551235330108,25.52734897013141
