timeframe,sl,tp,grid_step,multiplier,max_legs,target_profit,rsi_buy,rsi_sell,use_candlestick,win_rate,num_baskets,final_balance,net_roi,max_drawdown
H1,15.0,15.0,10.0,1.5,4,4.0,30-70,30-70,False,57.21649484536082,194,513.3856927199391,2.6771385439878257,3.3358066554210524
H1,15.0,15.0,10.0,1.5,3,4.0,30-70,30-70,False,57.21649484536082,194,513.3856927199391,2.6771385439878257,3.3358066554210524
H1,30.0,20.0,15.0,1.5,3,2.0,30-70,30-70,False,84.66666666666667,150,512.9905995568795,2.5981199113758975,7.64893374167577
H1,30.0,15.0,15.0,2.0,4,4.0,45-60,40-55,True,87.8048780487805,41,512.8246457606836,2.56492915213671,5.559999999999613
M30,20.0,15.0,10.0,1.5,3,2.0,45-60,40-55,True,78.78787878787878,132,512.224144392041,2.4448288784082024,3.434599300256162
M30,15.0,15.0,15.0,1.5,3,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,2.0,4,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,1.5,3,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,1.5,4,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,2.0,3,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,1.5,4,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,2.0,4,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,1.5,4,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,1.5,4,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,2.0,3,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,2.0,3,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,2.0,3,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,20.0,2.0,4,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,1.5,3,2.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,15.0,2.0,4,4.0,45-60,40-55,True,53.03030303030303,132,511.84107053923077,2.368214107846154,1.4981193821689325
M30,15.0,15.0,10.0,1.5,4,2.0,45-60,40-55,True,65.41353383458647,133,511.72180079033694,2.3443601580673885,2.810718555067392
M30,15.0,15.0,10.0,1.5,3,2.0,45-60,40-55,True,65.41353383458647,133,511.72180079033694,2.3443601580673885,2.810718555067392
H1,15.0,20.0,10.0,2.0,3,2.0,45-60,40-55,True,56.81818181818182,44,511.71804189065193,2.3436083781303867,1.393700094160373
H1,15.0,20.0,10.0,2.0,4,2.0,45-60,40-55,True,56.81818181818182,44,511.71804189065193,2.3436083781303867,1.393700094160373
M30,20.0,20.0,20.0,1.5,3,4.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,1.5,4,2.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,1.5,3,2.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,2.0,4,4.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,2.0,4,2.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,2.0,3,2.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,1.5,4,4.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,20.0,2.0,3,4.0,45-60,40-55,True,52.38095238095239,126,511.62923808716783,2.325847617433567,2.774401527385583
M30,20.0,20.0,10.0,2.0,3,4.0,45-60,40-55,True,75.96899224806202,129,510.9796544722363,2.195930894447258,6.897085789719531
M30,20.0,15.0,10.0,2.0,4,4.0,45-60,40-55,True,78.78787878787878,132,509.2109517202387,1.8421903440477423,8.600000000000378
M30,20.0,15.0,10.0,1.5,3,4.0,45-60,40-55,True,77.09923664122137,131,509.1364750317764,1.8272950063552797,4.8143544070873325
M30,15.0,20.0,10.0,1.5,3,2.0,45-60,40-55,True,60.30534351145038,131,508.9228776523455,1.784575530469101,2.7259577643381916
H1,15.0,20.0,10.0,2.0,3,4.0,30-70,30-70,False,50.80213903743316,187,508.76085407832943,1.752170815665886,4.135811675787369
H1,15.0,20.0,10.0,2.0,4,4.0,30-70,30-70,False,50.80213903743316,187,508.76085407832943,1.752170815665886,4.135811675787369
H1,20.0,20.0,10.0,2.0,4,2.0,45-60,40-55,True,75.60975609756098,41,506.99757417632935,1.3995148352658704,4.981406090751879
H1,20.0,20.0,10.0,2.0,3,2.0,45-60,40-55,True,75.60975609756098,41,506.99757417632935,1.3995148352658704,4.981406090751879
H1,20.0,15.0,20.0,1.5,4,4.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
H1,20.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
H1,20.0,15.0,20.0,2.0,4,4.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
H1,20.0,15.0,20.0,1.5,3,4.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
H1,20.0,15.0,20.0,2.0,3,2.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
H1,20.0,15.0,20.0,2.0,3,4.0,45-60,40-55,True,61.904761904761905,42,506.924962427636,1.384992485527198,1.6941477757787335
